date,facility,facility_id,orders,gmv,gmv_minus_discount,hours_staffed,week,month,labor_cost,orders_processed_per_hour_staffed,expected_hours,overstaffing_flag,processing_revenue,net_revenue,expected_labor_cost,expected_net_revenue,loss_flag
2023-08-01,NA-US-CA(N)-NH-Ruff (Kitchens),905cbe43-327f-4d3e-a897-48ee81a64ade,154,5478.43,5322.32,29.483333,2023-07-31,2023-08-01,530.699994,6,4.4,1,219.1372,-311.56279399999994,79.2,139.93720000000002,1
2023-08-01,NA-US-IL-DUN-Avondale,54341152-da81-4b58-8ba3-8604bc1ff2dc,108,3297.44,2555.35,13.2,2023-07-31,2023-08-01,237.6,9,3.085714285714286,1,131.8976,-105.70239999999998,55.542857142857144,76.35474285714287,1
2023-08-01,NA-US-NG-OTT-Tempe (Kitchens) (correct),a9eb0fc1-7699-43b4-bd4c-6bb5b8195a87,69,1949.6100000000001,1850.56,13.166667,2023-07-31,2023-08-01,237.000006,6,1.9714285714285715,1,77.98440000000001,-159.015606,35.48571428571429,42.49868571428572,1
2023-08-01,NA-US-OD-5th (correct),54d4375f-4c79-4444-ad83-f54362c08198,134,4088.62,3712.86,12.583333,2023-07-31,2023-08-01,226.499994,11,3.8285714285714287,1,163.5448,-62.95519399999998,68.91428571428571,94.6305142857143,1
2023-08-01,NA-US-TUCS-SA-Lombrano (Correct),ee395d7f-589b-4208-a745-90a8a0aa3bfd,12,286.02,266.02,8.066667,2023-07-31,2023-08-01,145.200006,2,0.34285714285714286,1,11.4408,-133.759206,6.171428571428572,5.269371428571428,1
2023-08-01,NA-US-TX-KOL-18th,40cb78af-5b18-4044-82af-8751b9c34b58,3,64.25,64.25,7.7,2023-07-31,2023-08-01,138.6,1,0.08571428571428572,1,2.57,-136.03,1.542857142857143,1.027142857142857,1
2023-08-02,NA-US-CA(N)-NH-Ruff (Kitchens),905cbe43-327f-4d3e-a897-48ee81a64ade,473,16297.55,15677.02,25.1,2023-07-31,2023-08-01,451.8,19,13.514285714285714,1,651.9019999999999,200.10199999999992,243.25714285714287,408.64485714285706,0
2023-08-02,NA-US-CO-DEN-Aurora,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,45,1884.19,1679.76,0.983333,2023-07-31,2023-08-01,17.699994,46,1.2857142857142858,0,75.36760000000001,57.667606000000006,23.142857142857146,52.224742857142864,0
2023-08-02,NA-US-IL-DUN-Avondale,54341152-da81-4b58-8ba3-8604bc1ff2dc,689,19672.68,15850.32,17.366666,2023-07-31,2023-08-01,312.599988,40,19.685714285714287,0,786.9072,474.307212,354.34285714285716,432.56434285714283,0
2023-08-02,NA-US-NG-OTT-Tempe (Kitchens) (correct),a9eb0fc1-7699-43b4-bd4c-6bb5b8195a87,304,9369.19,8705.34,14.066667,2023-07-31,2023-08-01,253.200006,22,8.685714285714285,1,374.7676,121.56759400000001,156.34285714285713,218.4247428571429,0
2023-08-02,NA-US-OD-5th (correct),54d4375f-4c79-4444-ad83-f54362c08198,529,14575.96,12849.33,21.65,2023-07-31,2023-08-01,389.7,25,15.114285714285714,1,583.0384,193.33840000000004,272.0571428571428,310.9812571428572,0
2023-08-02,NA-US-TUCS-SA-Lombrano (Correct),ee395d7f-589b-4208-a745-90a8a0aa3bfd,61,1541.3799999999999,1521.3799999999999,7.916667,2023-07-31,2023-08-01,142.500006,8,1.7428571428571429,1,61.655199999999994,-80.84480600000002,31.371428571428574,30.28377142857142,1
2023-08-02,NA-US-TX-KOL-18th,40cb78af-5b18-4044-82af-8751b9c34b58,57,1659.79,1504.3700000000001,9.25,2023-07-31,2023-08-01,166.5,7,1.6285714285714286,1,66.3916,-100.1084,29.314285714285713,37.07731428571428,1
2023-08-03,NA-US-CA(N)-NH-Ruff (Kitchens),905cbe43-327f-4d3e-a897-48ee81a64ade,462,14638.9,14297.13,19.2,2023-07-31,2023-08-01,345.59999999999997,25,13.2,1,585.556,239.95600000000007,237.6,347.956,0
2023-08-03,NA-US-CO-DEN-Aurora,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,45,1410.54,1197.44,0.0,2023-07-31,2023-08-01,0.0,0,1.2857142857142858,0,56.4216,56.4216,23.142857142857146,33.27874285714285,0
2023-08-03,NA-US-IL-DUN-Avondale,54341152-da81-4b58-8ba3-8604bc1ff2dc,751,22822.98,18608.58,12.85,2023-07-31,2023-08-01,231.29999999999998,59,21.457142857142856,0,912.9192,681.6192000000001,386.2285714285714,526.6906285714286,0
2023-08-03,NA-US-NG-OTT-Tempe (Kitchens) (correct),a9eb0fc1-7699-43b4-bd4c-6bb5b8195a87,477,14796.56,13170.3,16.9,2023-07-31,2023-08-01,304.2,29,13.628571428571428,1,591.8624,287.6624,245.31428571428572,346.5481142857143,0
2023-08-03,NA-US-OD-5th (correct),54d4375f-4c79-4444-ad83-f54362c08198,554,16328.15,14450.64,21.016667,2023-07-31,2023-08-01,378.30000600000005,27,15.82857142857143,1,653.126,274.8259939999999,284.9142857142857,368.21171428571427,0
2023-08-03,NA-US-TUCS-SA-Lombrano (Correct),ee395d7f-589b-4208-a745-90a8a0aa3bfd,70,1911.56,1881.56,8.0,2023-07-31,2023-08-01,144.0,9,2.0,1,76.4624,-67.5376,36.0,40.4624,1
2023-08-03,NA-US-TX-KOL-18th,40cb78af-5b18-4044-82af-8751b9c34b58,52,1562.5,1538.53,8.85,2023-07-31,2023-08-01,159.29999999999998,6,1.4857142857142858,1,62.5,-96.79999999999998,26.742857142857144,35.75714285714285,1
2023-08-04,NA-US-CA(N)-NH-Ruff (Kitchens),905cbe43-327f-4d3e-a897-48ee81a64ade,443,14925.16,14398.42,18.916667,2023-07-31,2023-08-01,340.500006,24,12.657142857142857,1,597.0064,256.506394,227.82857142857142,369.17782857142856,0
2023-08-04,NA-US-CO-DEN-Aurora,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,84,2838.54,2468.53,0.0,2023-07-31,2023-08-01,0.0,0,2.4,0,113.5416,113.5416,43.199999999999996,70.3416,0
2023-08-04,NA-US-IL-DUN-Avondale,54341152-da81-4b58-8ba3-8604bc1ff2dc,818,25407.28,20809.06,14.216667,2023-07-31,2023-08-01,255.900006,58,23.37142857142857,0,1016.2912,760.391194,420.68571428571425,595.6054857142858,0
2023-08-04,NA-US-NG-OTT-Tempe (Kitchens) (correct),a9eb0fc1-7699-43b4-bd4c-6bb5b8195a87,454,14115.38,12077.07,27.566667,2023-07-31,2023-08-01,496.200006,17,12.971428571428572,1,564.6152,68.41519399999999,233.4857142857143,331.1294857142857,0
2023-08-04,NA-US-OD-5th (correct),54d4375f-4c79-4444-ad83-f54362c08198,568,15952.27,13976.4,21.65,2023-07-31,2023-08-01,389.7,27,16.228571428571428,1,638.0908000000001,248.39080000000007,292.1142857142857,345.97651428571436,0
2023-08-04,NA-US-TUCS-SA-Lombrano (Correct),ee395d7f-589b-4208-a745-90a8a0aa3bfd,79,2224.96,2194.96,7.266667,2023-07-31,2023-08-01,130.800006,11,2.257142857142857,1,88.9984,-41.80160599999999,40.628571428571426,48.36982857142858,1
2023-08-04,NA-US-TX-KOL-18th,40cb78af-5b18-4044-82af-8751b9c34b58,75,2264.91,2193.27,6.033333,2023-07-31,2023-08-01,108.599994,13,2.142857142857143,1,90.5964,-18.003593999999993,38.57142857142857,52.02497142857143,1
2023-08-05,NA-US-CA(N)-NH-Ruff (Kitchens),905cbe43-327f-4d3e-a897-48ee81a64ade,452,15812.15,15461.41,22.416667,2023-07-31,2023-08-01,403.500006,21,12.914285714285715,1,632.486,228.985994,232.45714285714286,400.02885714285713,0
2023-08-05,NA-US-CO-DEN-Aurora,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,71,2470.76,2190.94,0.0,2023-07-31,2023-08-01,0.0,0,2.0285714285714285,0,98.83040000000001,98.83040000000001,36.51428571428571,62.3161142857143,0
2023-08-05,NA-US-IL-DUN-Avondale,54341152-da81-4b58-8ba3-8604bc1ff2dc,865,27146.98,22098.38,14.6,2023-07-31,2023-08-01,262.8,60,24.714285714285715,0,1085.8792,823.0792000000001,444.8571428571429,641.0220571428572,0
2023-08-05,NA-US-NG-OTT-Tempe (Kitchens) (correct),a9eb0fc1-7699-43b4-bd4c-6bb5b8195a87,372,11955.5,9995.6,17.233333,2023-07-31,2023-08-01,310.19999399999995,22,10.628571428571428,1,478.22,168.02000600000008,191.31428571428572,286.90571428571434,0
2023-08-05,NA-US-OD-5th (correct),54d4375f-4c79-4444-ad83-f54362c08198,548,22810.14,20706.49,11.916667,2023-07-31,2023-08-01,214.500006,46,15.657142857142857,0,912.4056,697.9055940000001,281.8285714285714,630.5770285714286,0
2023-08-05,NA-US-TUCS-SA-Lombrano (Correct),ee395d7f-589b-4208-a745-90a8a0aa3bfd,68,2052.93,1992.93,6.983333,2023-07-31,2023-08-01,125.699994,10,1.9428571428571428,1,82.1172,-43.58279400000001,34.97142857142857,47.14577142857143,1
2023-08-05,NA-US-TX-KOL-18th,40cb78af-5b18-4044-82af-8751b9c34b58,86,2852.43,2810.45,0.0,2023-07-31,2023-08-01,0.0,0,2.4571428571428573,0,114.0972,114.0972,44.22857142857143,69.86862857142857,0
2023-08-06,NA-US-CA(N)-NH-Ruff (Kitchens),905cbe43-327f-4d3e-a897-48ee81a64ade,407,12577.49,12115.94,11.2,2023-07-31,2023-08-01,201.6,37,11.628571428571428,0,503.0996,301.4996,209.31428571428572,293.7853142857143,0
2023-08-06,NA-US-CO-DEN-Aurora,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,69,2217.2200000000003,1983.73,0.0,2023-07-31,2023-08-01,0.0,0,1.9714285714285715,0,88.68880000000001,88.68880000000001,35.48571428571429,53.20308571428573,0
2023-08-06,NA-US-IL-DUN-Avondale,54341152-da81-4b58-8ba3-8604bc1ff2dc,779,24758.01,20068.35,13.75,2023-07-31,2023-08-01,247.5,57,22.257142857142856,0,990.3204,742.8204,400.62857142857143,589.6918285714285,0
2023-08-06,NA-US-NG-OTT-Tempe (Kitchens) (correct),a9eb0fc1-7699-43b4-bd4c-6bb5b8195a87,494,15910.73,13459.08,13.333334,2023-07-31,2023-08-01,240.00001200000003,38,14.114285714285714,0,636.4292,396.429188,254.05714285714285,382.3720571428572,0
2023-08-06,NA-US-OD-5th (correct),54d4375f-4c79-4444-ad83-f54362c08198,623,19236.83,16327.74,6.783333,2023-07-31,2023-08-01,122.099994,92,17.8,0,769.4732000000001,647.3732060000001,320.40000000000003,449.0732000000001,0
2023-08-06,NA-US-TUCS-SA-Lombrano (Correct),ee395d7f-589b-4208-a745-90a8a0aa3bfd,44,1272.12,1267.12,0.0,2023-07-31,2023-08-01,0.0,0,1.2571428571428571,0,50.8848,50.8848,22.628571428571426,28.256228571428572,0
2023-08-06,NA-US-TX-KOL-18th,40cb78af-5b18-4044-82af-8751b9c34b58,50,1794.23,1794.23,2.55,2023-07-31,2023-08-01,45.9,20,1.4285714285714286,1,71.7692,25.8692,25.714285714285715,46.05491428571428,0
2023-08-07,NA-US-CA(N)-NH-Ruff (Kitchens),905cbe43-327f-4d3e-a897-48ee81a64ade,453,14524.41,14041.45,17.466667,2023-08-07,2023-08-01,314.400006,26,12.942857142857143,1,580.9764,266.576394,232.9714285714286,348.0049714285714,0
2023-08-07,NA-US-CO-DEN-Aurora,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,50,1618.8600000000001,1402.9,0.0,2023-08-07,2023-08-01,0.0,0,1.4285714285714286,0,64.7544,64.7544,25.714285714285715,39.04011428571429,0
2023-08-07,NA-US-IL-DUN-Avondale,54341152-da81-4b58-8ba3-8604bc1ff2dc,658,20194.67,16481.58,14.25,2023-08-07,2023-08-01,256.5,47,18.8,0,807.7868,551.2868,338.40000000000003,469.38679999999994,0
2023-08-07,NA-US-NG-OTT-Tempe (Kitchens) (correct),a9eb0fc1-7699-43b4-bd4c-6bb5b8195a87,388,11075.95,9465.39,13.166667,2023-08-07,2023-08-01,237.000006,30,11.085714285714285,1,443.038,206.037994,199.54285714285714,243.49514285714287,0
2023-08-07,NA-US-OD-5th (correct),54d4375f-4c79-4444-ad83-f54362c08198,455,14331.98,12546.98,9.866666,2023-08-07,2023-08-01,177.599988,47,13.0,0,573.2792,395.67921199999995,234.0,339.27919999999995,0
2023-08-07,NA-US-TUCS-SA-Lombrano (Correct),ee395d7f-589b-4208-a745-90a8a0aa3bfd,78,2097.0,2037.0,0.0,2023-08-07,2023-08-01,0.0,0,2.2285714285714286,0,83.88,83.88,40.114285714285714,43.76571428571428,0
2023-08-07,NA-US-TX-KOL-18th,40cb78af-5b18-4044-82af-8751b9c34b58,78,2324.95,2286.79,0.0,2023-08-07,2023-08-01,0.0,0,2.2285714285714286,0,92.99799999999999,92.99799999999999,40.114285714285714,52.88371428571428,0
2023-08-08,NA-US-CA(N)-NH-Ruff (Kitchens),905cbe43-327f-4d3e-a897-48ee81a64ade,505,14837.16,14329.64,18.733334,2023-08-07,2023-08-01,337.200012,27,14.428571428571429,1,593.4864,256.286388,259.7142857142857,333.7721142857143,0
2023-08-08,NA-US-CO-DEN-Aurora,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,25,802.35,662.47,6.866667,2023-08-07,2023-08-01,123.600006,4,0.7142857142857143,1,32.094,-91.50600599999999,12.857142857142858,19.236857142857144,1
2023-08-08,NA-US-IL-DUN-Avondale,54341152-da81-4b58-8ba3-8604bc1ff2dc,630,18636.15,15053.85,13.483334,2023-08-07,2023-08-01,242.700012,47,18.0,0,745.446,502.745988,324.0,421.446,0
2023-08-08,NA-US-NG-OTT-Tempe (Kitchens) (correct),a9eb0fc1-7699-43b4-bd4c-6bb5b8195a87,471,14014.789999999999,11939.29,13.9,2023-08-07,2023-08-01,250.20000000000002,34,13.457142857142857,1,560.5916,310.3915999999999,242.22857142857143,318.3630285714286,0
2023-08-08,NA-US-OD-5th (correct),54d4375f-4c79-4444-ad83-f54362c08198,459,13356.6,11787.41,9.7,2023-08-07,2023-08-01,174.6,48,13.114285714285714,0,534.264,359.664,236.05714285714285,298.2068571428572,0
2023-08-08,NA-US-TUCS-SA-Lombrano (Correct),ee395d7f-589b-4208-a745-90a8a0aa3bfd,81,1999.09,1999.09,7.766667,2023-08-07,2023-08-01,139.800006,11,2.3142857142857145,1,79.9636,-59.836406,41.65714285714286,38.30645714285714,1
2023-08-08,NA-US-TX-KOL-18th,40cb78af-5b18-4044-82af-8751b9c34b58,57,1464.94,1427.21,0.0,2023-08-07,2023-08-01,0.0,0,1.6285714285714286,0,58.5976,58.5976,29.314285714285713,29.283314285714287,0
2023-08-09,NA-US-CA(N)-NH-Ruff (Kitchens),905cbe43-327f-4d3e-a897-48ee81a64ade,529,15736.24,15337.92,18.466667,2023-08-07,2023-08-01,332.400006,29,15.114285714285714,1,629.4496,297.049594,272.0571428571428,357.3924571428572,0
2023-08-09,NA-US-CO-DEN-Aurora,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,32,1019.44,880.28,6.133333,2023-08-07,2023-08-01,110.399994,6,0.9142857142857143,1,40.7776,-69.62239400000001,16.457142857142856,24.320457142857144,1
2023-08-09,NA-US-IL-DUN-Avondale,54341152-da81-4b58-8ba3-8604bc1ff2dc,716,26004.26,21713.829999999998,12.333334,2023-08-07,2023-08-01,222.00001200000003,59,20.457142857142856,0,1040.1704,818.170388,368.2285714285714,671.9418285714286,0
