date,facility_id,facility_name,labor_hours_actual_including_cr_hours_allocation,daily_cr_labor_hours_allocation
2023-08-26,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,0.0,0.0
2023-08-05,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,0.0,0.0
2023-08-15,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,7.416667,0.0
2023-08-01,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,0.0,0.0
2023-08-31,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,9.616667,0.0
2023-09-06,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,0.0,0.0
2023-08-19,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,0.0,0.0
2023-08-23,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,5.7,0.0
2023-08-29,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,4.933333,0.0
2023-08-03,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,0.0,0.0
2023-08-10,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,4.616667,0.0
2023-08-25,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,0.0,0.0
2023-08-02,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,0.983333,0.0
2023-08-28,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,0.0,0.0
2023-08-06,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,0.0,0.0
2023-08-12,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,0.0,0.0
2023-09-03,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,2.083333,0.0
2023-08-11,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,6.966667,0.0
2023-09-02,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,1.65,0.0
2023-08-09,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,6.133333,0.0
2023-09-01,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,7.166666,0.0
2023-08-30,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,5.05,0.0
2023-08-21,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,0.45,0.0
2023-09-04,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,0.0,0.0
2023-08-27,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,3.1,0.0
