date,facility_id,facility,hours_staffed,daily_cr_labor_hours_allocation,week,month,labor_cost
2023-08-26,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,0.0,0.0,2023-08-21,2023-08-01,0.0
2023-08-05,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,0.0,0.0,2023-07-31,2023-08-01,0.0
2023-08-15,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,7.416667,0.0,2023-08-14,2023-08-01,133.500006
2023-08-01,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,0.0,0.0,2023-07-31,2023-08-01,0.0
2023-08-31,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,9.616667,0.0,2023-08-28,2023-08-01,173.100006
2023-09-06,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,0.0,0.0,2023-09-04,2023-09-01,0.0
2023-08-19,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,0.0,0.0,2023-08-14,2023-08-01,0.0
2023-08-23,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,5.7,0.0,2023-08-21,2023-08-01,102.60000000000001
2023-08-29,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,4.933333,0.0,2023-08-28,2023-08-01,88.799994
2023-08-03,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,0.0,0.0,2023-07-31,2023-08-01,0.0
2023-08-10,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,4.616667,0.0,2023-08-07,2023-08-01,83.100006
2023-08-25,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,0.0,0.0,2023-08-21,2023-08-01,0.0
2023-08-02,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,0.983333,0.0,2023-07-31,2023-08-01,17.699994
2023-08-28,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,0.0,0.0,2023-08-28,2023-08-01,0.0
2023-08-06,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,0.0,0.0,2023-07-31,2023-08-01,0.0
2023-08-12,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,0.0,0.0,2023-08-07,2023-08-01,0.0
2023-09-03,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,2.083333,0.0,2023-08-28,2023-09-01,37.499994
2023-08-11,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,6.966667,0.0,2023-08-07,2023-08-01,125.400006
2023-09-02,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,1.65,0.0,2023-08-28,2023-09-01,29.7
2023-08-09,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,6.133333,0.0,2023-08-07,2023-08-01,110.399994
2023-09-01,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,7.166666,0.0,2023-08-28,2023-09-01,128.999988
2023-08-30,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,5.05,0.0,2023-08-28,2023-08-01,90.89999999999999
2023-08-21,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,0.45,0.0,2023-08-21,2023-08-01,8.1
2023-09-04,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,0.0,0.0,2023-09-04,2023-09-01,0.0
2023-08-27,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,3.1,0.0,2023-08-21,2023-08-01,55.800000000000004
2023-08-18,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,4.25,0.0,2023-08-14,2023-08-01,76.5
2023-08-04,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,0.0,0.0,2023-07-31,2023-08-01,0.0
2023-08-20,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,3.9,0.0,2023-08-14,2023-08-01,70.2
2023-08-07,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,0.0,0.0,2023-08-07,2023-08-01,0.0
2023-08-13,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,5.45,0.0,2023-08-07,2023-08-01,98.10000000000001
2023-08-22,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,7.383333,0.0,2023-08-21,2023-08-01,132.899994
2023-09-07,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,0.0,0.0,2023-09-04,2023-09-01,0.0
2023-08-14,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,3.1,0.0,2023-08-14,2023-08-01,55.800000000000004
2023-08-17,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,5.65,0.0,2023-08-14,2023-08-01,101.7
2023-08-16,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,4.566667,0.0,2023-08-14,2023-08-01,82.200006
2023-08-24,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,7.55,0.0,2023-08-21,2023-08-01,135.9
2023-08-08,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,6.866667,0.0,2023-08-07,2023-08-01,123.600006
2023-09-05,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,NA-US-CO-DEN-Aurora,0.0,0.0,2023-09-04,2023-09-01,0.0
2023-08-26,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0,2023-08-21,2023-08-01,0.0
2023-08-17,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,10.933333,0.0,2023-08-14,2023-08-01,196.799994
2023-08-01,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,7.7,0.0,2023-07-31,2023-08-01,138.6
2023-08-31,40cb78af-5b18-4044-82af-8751b9c34b58,NA-US-TX-KOL-18th,0.0,0.0,2023-08-28,2023-08-01,0.0
