date,facility,facility_id,organization_name,subregion,gmv,orders,gmv_minus_discount,week,month
2023-08-01,NA-US-CA(N)-NH-Ruff (Kitchens),905cbe43-327f-4d3e-a897-48ee81a64ade,abundant river,Northwest,1807.0,44,1722.11,2023-07-31,2023-08-01
2023-08-01,NA-US-CA(N)-NH-Ruff (Kitchens),905cbe43-327f-4d3e-a897-48ee81a64ade,agile tiger,Northwest,33.99,1,33.99,2023-07-31,2023-08-01
2023-08-01,NA-US-CA(N)-NH-Ruff (Kitchens),905cbe43-327f-4d3e-a897-48ee81a64ade,alluring dolphin,Northwest,1110.95,38,1104.95,2023-07-31,2023-08-01
2023-08-01,NA-US-CA(N)-NH-Ruff (Kitchens),905cbe43-327f-4d3e-a897-48ee81a64ade,charming island,Northwest,30.0,1,30.0,2023-07-31,2023-08-01
2023-08-01,NA-US-CA(N)-NH-Ruff (Kitchens),905cbe43-327f-4d3e-a897-48ee81a64ade,colorful kangaroo,Northwest,12.4,1,12.4,2023-07-31,2023-08-01
2023-08-01,NA-US-CA(N)-NH-Ruff (Kitchens),905cbe43-327f-4d3e-a897-48ee81a64ade,dazzling river,Northwest,243.35000000000002,11,243.35000000000002,2023-07-31,2023-08-01
2023-08-01,NA-US-CA(N)-NH-Ruff (Kitchens),905cbe43-327f-4d3e-a897-48ee81a64ade,elegant mountain,Northwest,211.64999999999998,4,206.64999999999998,2023-07-31,2023-08-01
2023-08-01,NA-US-CA(N)-NH-Ruff (Kitchens),905cbe43-327f-4d3e-a897-48ee81a64ade,fearless elephant,Northwest,315.79999999999995,13,315.79999999999995,2023-07-31,2023-08-01
2023-08-01,NA-US-CA(N)-NH-Ruff (Kitchens),905cbe43-327f-4d3e-a897-48ee81a64ade,fearless piano,Northwest,422.86,2,412.86,2023-07-31,2023-08-01
2023-08-01,NA-US-CA(N)-NH-Ruff (Kitchens),905cbe43-327f-4d3e-a897-48ee81a64ade,fruity house,Northwest,20.98,1,20.98,2023-07-31,2023-08-01
2023-08-01,NA-US-CA(N)-NH-Ruff (Kitchens),905cbe43-327f-4d3e-a897-48ee81a64ade,graceful house,Northwest,43.79,2,38.79,2023-07-31,2023-08-01
2023-08-01,NA-US-CA(N)-NH-Ruff (Kitchens),905cbe43-327f-4d3e-a897-48ee81a64ade,nimble night,Northwest,84.35,4,72.97,2023-07-31,2023-08-01
2023-08-01,NA-US-CA(N)-NH-Ruff (Kitchens),905cbe43-327f-4d3e-a897-48ee81a64ade,nimble tiger,Northwest,77.53999999999999,5,77.53999999999999,2023-07-31,2023-08-01
2023-08-01,NA-US-CA(N)-NH-Ruff (Kitchens),905cbe43-327f-4d3e-a897-48ee81a64ade,resilient zebra,Northwest,18.0,1,18.0,2023-07-31,2023-08-01
